total 0
dr-x------ 2 root root 122 Nov 20 03:38 .
dr-xr-xr-x 9 root root   0 Nov 20 03:38 ..
lrwx------ 1 root root  64 Nov 23 12:18 135 -> socket:[17798]
lrwx------ 1 root root  64 Nov 23 12:18 136 -> socket:[17890]
lrwx------ 1 root root  64 Nov 23 12:18 139 -> socket:[17968]
lrwx------ 1 root root  64 Nov 20 03:38 14 -> socket:[4369]
lrwx------ 1 root root  64 Nov 23 12:18 15 -> /sys/fs/cgroup/system.slice/systemd-journald.service/memory.pressure
lrwx------ 1 root root  64 Nov 23 12:18 16 -> anon_inode:[timerfd]
lrwx------ 1 root root  64 Nov 20 03:38 17 -> socket:[34319]
lrwx------ 1 root root  64 Nov 23 12:18 18 -> socket:[4753]
lrwx------ 1 root root  64 Nov 20 03:38 19 -> socket:[8251]
l-wx------ 1 root root  64 Nov 20 03:38 2 -> /dev/null
lrwx------ 1 root root  64 Nov 23 12:18 20 -> socket:[5564]
lrwx------ 1 root root  64 Nov 20 03:38 21 -> socket:[5690]
lrwx------ 1 root root  64 Nov 20 03:38 22 -> socket:[12059]
lrwx------ 1 root root  64 Nov 23 12:18 23 -> socket:[8291]
lrwx------ 1 root root  64 Nov 20 03:38 24 -> /var/log/journal/2063c01f4177464c98009f8e51944ab0/system.journal
lrwx------ 1 root root  64 Nov 23 12:18 25 -> socket:[18130]
lrwx------ 1 root root  64 Nov 23 12:18 26 -> socket:[8368]
lrwx------ 1 root root  64 Nov 23 12:18 27 -> socket:[9378]
lrwx------ 1 root root  64 Nov 23 12:18 28 -> socket:[17545]
lrwx------ 1 root root  64 Nov 23 12:18 29 -> socket:[8396]
lrwx------ 1 root root  64 Nov 20 03:38 3 -> socket:[4298]
lrwx------ 1 root root  64 Nov 23 12:18 30 -> socket:[8414]
lrwx------ 1 root root  64 Nov 23 12:18 31 -> socket:[8458]
lrwx------ 1 root root  64 Nov 23 12:18 32 -> socket:[8459]
lrwx------ 1 root root  64 Nov 23 12:18 33 -> socket:[8526]
lrwx------ 1 root root  64 Nov 23 12:18 34 -> socket:[8529]
lrwx------ 1 root root  64 Nov 20 03:38 35 -> socket:[8554]
lrwx------ 1 root root  64 Nov 23 12:18 36 -> socket:[15059]
lrwx------ 1 root root  64 Nov 23 12:18 37 -> socket:[11393]
lrwx------ 1 root root  64 Nov 23 12:18 38 -> socket:[9617]
lrwx------ 1 root root  64 Nov 23 12:18 39 -> socket:[8646]
lrwx------ 1 root root  64 Nov 20 03:38 4 -> socket:[4300]
lrwx------ 1 root root  64 Nov 23 12:18 40 -> socket:[9394]
lrwx------ 1 root root  64 Nov 23 12:25 41 -> socket:[24401]
lrwx------ 1 root root  64 Nov 23 12:18 42 -> socket:[11468]
lrwx------ 1 root root  64 Nov 23 12:18 43 -> socket:[11428]
lrwx------ 1 root root  64 Nov 23 12:18 44 -> socket:[12501]
lrwx------ 1 root root  64 Nov 23 12:18 45 -> socket:[18516]
lrwx------ 1 root root  64 Nov 23 12:18 46 -> socket:[18131]
lrwx------ 1 root root  64 Nov 23 12:25 47 -> socket:[22382]
lrwx------ 1 root root  64 Nov 23 12:18 48 -> socket:[19609]
lrwx------ 1 root root  64 Nov 23 12:18 49 -> socket:[18205]
lrwx------ 1 root root  64 Nov 23 12:18 5 -> socket:[4296]
lrwx------ 1 root root  64 Nov 23 12:18 50 -> socket:[18237]
lrwx------ 1 root root  64 Nov 23 12:18 51 -> socket:[14375]
lrwx------ 1 root root  64 Nov 23 12:25 52 -> socket:[22636]
lrwx------ 1 root root  64 Nov 20 03:38 53 -> socket:[22638]
lrwx------ 1 root root  64 Nov 20 03:38 55 -> socket:[25972]
lrwx------ 1 root root  64 Nov 20 03:38 56 -> socket:[11948]
lrwx------ 1 root root  64 Nov 20 03:38 57 -> socket:[35286]
lrwx------ 1 root root  64 Nov 23 12:18 58 -> socket:[18239]
lrwx------ 1 root root  64 Nov 23 13:25 59 -> socket:[35339]
l-wx------ 1 root root  64 Nov 23 12:18 6 -> /dev/kmsg
lrwx------ 1 root root  64 Nov 23 13:25 60 -> socket:[35371]
lrwx------ 1 root root  64 Nov 23 12:18 61 -> socket:[35374]
lrwx------ 1 root root  64 Nov 23 12:18 62 -> socket:[18278]
lrwx------ 1 root root  64 Nov 23 12:18 63 -> socket:[13637]
lrwx------ 1 root root  64 Nov 23 12:18 64 -> socket:[18292]
lrwx------ 1 root root  64 Nov 23 13:35 65 -> socket:[36726]
lrwx------ 1 root root  64 Nov 23 12:18 7 -> anon_inode:[eventpoll]
lrwx------ 1 root root  64 Nov 23 12:18 76 -> socket:[15060]
lrwx------ 1 root root  64 Nov 23 12:18 78 -> socket:[14258]
lrwx------ 1 root root  64 Nov 23 12:18 8 -> /dev/kmsg
lrwx------ 1 root root  64 Nov 23 12:18 81 -> socket:[14334]
lrwx------ 1 root root  64 Nov 23 12:17 82 -> /var/log/journal/2063c01f4177464c98009f8e51944ab0/user-1000.journal
lrwx------ 1 root root  64 Nov 23 12:18 83 -> socket:[15375]
lrwx------ 1 root root  64 Nov 23 12:18 84 -> socket:[15381]
lrwx------ 1 root root  64 Nov 23 12:18 85 -> socket:[15398]
lrwx------ 1 root root  64 Nov 23 12:18 86 -> socket:[15422]
lrwx------ 1 root root  64 Nov 23 12:18 87 -> socket:[15450]
lrwx------ 1 root root  64 Nov 23 12:18 88 -> socket:[15473]
lrwx------ 1 root root  64 Nov 23 12:18 89 -> socket:[16419]
lrwx------ 1 root root  64 Nov 20 03:38 9 -> socket:[4366]
lrwx------ 1 root root  64 Nov 23 12:18 90 -> socket:[16420]
lrwx------ 1 root root  64 Nov 23 12:18 91 -> socket:[16453]
lrwx------ 1 root root  64 Nov 23 12:18 92 -> socket:[16456]
lrwx------ 1 root root  64 Nov 23 12:18 93 -> socket:[15854]
lrwx------ 1 root root  64 Nov 23 12:18 94 -> socket:[15873]
lrwx------ 1 root root  64 Nov 23 12:18 95 -> socket:[16108]
lrwx------ 1 root root  64 Nov 23 12:18 96 -> socket:[15929]
lrwx------ 1 root root  64 Nov 23 12:18 97 -> socket:[16577]
lrwx------ 1 root root  64 Nov 23 12:18 98 -> socket:[15916]
